=== GEO 점검: 총 57개 (발행+예약) ===
id  | 요약 | FAQ | 상태 | 제목
  19 |  O  |  O  | publish | 해외직구 관세 면제 기준 150달러, 미국만 200달러인 이유
  23 |  O  |  O  | publish | 목록통관 vs 일반통관 차이 — 내 직구는 어느 쪽일까
  27 |  O  |  O  | publish | 관부가세 계산법 완벽 정리 (실제 예시 3가지)
  28 |  O  |  O  | publish | 개인통관고유부호 발급 방법과 도용 확인법 (2026년 갱신 제도 반영)
  32 |  O  |  O  | publish | 해외직구 합산과세 — 같은 날 도착하면 세금 폭탄?
  40 |  O  |  O  | publish | 통관 단계별 배송조회 읽는 법 — 수입신고에서 반출까지
  41 |  O  |  O  | publish | 세관 검사 대상으로 지정되는 이유 5가지 (2026년 기준)
  42 |  O  |  O  | publish | HS코드란 무엇인가 — 같은 물건도 관세가 달라지는 이유
  43 |  O  |  O  | publish | 건강기능식품 직구 6병 규정 — 초과하면 어떻게 될까
  44 |  O  |  O  | publish | 전자제품 직구와 전파인증(KC) — 1인 1대 면제 조건
  53 |  O  |  O  | publish | 해외여행 다녀온 뒤 산 물건, 세금 내야 할까 — 여행자 휴대품 면세 기준
  55 |  O  |  O  | publish | 골프채 해외직구 관세 — 드라이버·풀세트 실제로 얼마 나올까
  56 |  O  |  O  | publish | 명품 가방 해외직구로 선물하기 — 관세 얼마나 나올까
  58 |  O  |  O  | publish | 안마의자·마사지건 해외직구, 관세와 전기용품 인증까지
  80 |  O  |  O  | publish | 골프 거리측정기 해외직구, 전파인증에 걸리는 이유와 면제 조건
  92 |  O  |  O  | publish | 통관 지연, 직구가 ‘통관중’에서 멈췄다면 — 원인 5가지와 단계별 대처법
  95 |  O  |  O  | publish | 통관 보류 통지를 받았을 때 — 사유 확인부터 소명·반송까지 전 과정
  98 |  O  |  O  | publish | 관세 납부 문자, 진짜인지 확인하고 안전하게 내는 법 — 사칭 판별 3가지
 277 |  O  |  O  | publish | 배송대행지(배대지) 처음 쓰는 법 — 초보가 꼭 막히는 5가지
 281 |  O  |  O  | publish | 해외직구 사기·가품·미배송 당했을 때 — 돈 돌려받는 순서
 284 |  O  |  O  | publish | 과오납 환급, 직구 관세 더 냈다면 돌려받자 — 경정청구·FTA 사후적용
 317 |  O  |  O  | publish | ‘관부가세 포함’이라 샀는데 세금이 또 나왔다 — DDP 표기의 함정
 325 |  O  |  O  | publish | 알리·테무 몇천 원짜리 사는데 통관부호를 왜 넣으라 할까
 330 |  O  |  O  | publish | 구매대행으로 사면 관세는 누가 낼까 — 직접 직구와 뭐가 다른지
 333 |  O  |  O  | publish | 직구 저가신고(언더밸류) 하면 정말 걸릴까 — 적발되는 방식과 진짜 불이익
 340 |  O  |  O  | publish | 일본 직구 처음이라면 — 세금·배송·주의점 한눈에 정리
 343 |  O  |  O  | publish | 중국 직구(알리·테무·타오바오) — 세금·배송 한 번에 정리
 390 |  O  |  O  | publish | 피규어·프라모델·굿즈 직구 관세 — 110만원짜리 실제 세금 계산 사례
 394 |  O  |  O  | publish | 화장품·향수 직구, 뭐가 통과되고 뭐가 걸릴까 — 수량·향수 규정 체크리스트
 398 |  O  |  O  | publish | 유니패스로 직구 통관 상태 직접 조회하는 법 — 운송장 번호만 있으면 끝
 409 |  O  |  O  | publish | 플스5·닌텐도 스위치 직구, 세금보다 무서운 전파인증 함정
 415 |  O  |  O  | publish | 해외원화결제(DCC) 함정 — 직구 결제 실수로 5% 더 내는 이유
 422 |  O  |  O  | publish | 아마존 직구 처음 가이드 — 배송·관세·200달러 면세까지 5단계로
 428 |  O  |  O  | publish | 직구 통관검사 걸렸을 때 — 검사대기부터 개장검사까지 대처법 5단계
 443 |  O  |  O  | publish | 영양제 직구 체크리스트 — 6병 한도와 통관 주의점 3가지
 449 |  O  |  O  | publish | 유럽 직구 처음 가이드 — 독일·영국 VAT 환급과 150달러 면세
 458 |  O  |  O  | publish | 의류 직구 관세 — 신발까지 13%, 미국산 FTA는 0원?
 532 |  O  |  O  | publish | DHL·페덱스·UPS 특송 관세, 누가 언제 청구할까 — 통관수수료까지
 540 |  O  |  O  | publish | 유아용품 직구 — 분유·기저귀·카시트, 뭐가 싸고 뭘 조심할까
 554 |  O  |  O  | publish | 블랙프라이데이·연말 직구, 언제 주문해야 안 늦나 — 통관 지연 데이터로 역산하
 567 |  O  |  O  | publish | 직구 옷·신발 사이즈 실패 없이 사는 법 — 미국·유럽·일본 사이즈 변환과 반품
 581 |  O  |  O  | publish | 개인통관부호 때문에 직구 통관 막혔다면 — 이름·주소 실수와 정정법
 597 |  O  |  O  | publish | 해외 선물 관세 — 지인이 보낸 택배, ‘선물’이면 면세일까?
 610 |  O  |  O  | publish | 직구 관세 납부 방법 총정리 — 신용카드·모바일지로·간편결제, 어떻게 내나
 624 |  O  |  O  | publish | 직구 파손·분실 보상받는 순서 — 택배가 깨지거나 사라졌을 때 어디에 따지나
 640 |  O  |  O  | publish | 직구 통관 용어 완전정복 — 하선·반입·수리·반출·보세, 유니패스 단어 뜻풀이
 655 |  O  |  O  | publish | 직구 배송기간 총정리 — 나라·배송방식별 얼마나 걸리고 왜 늦을까
 669 |  O  |  O  | publish | 와인 직구 세금 — 미국·유럽은 FTA로 관세 0원, 위스키·일본산은 왜 비쌀까
 696 |  O  |  O  | publish | 해외직구 합산과세, 여러 개 나눠 사면 관세 안 낼까? — 같은 날·같은 판매자
 710 |  O  |  O  | publish | 개인통관고유부호 완전정복 — 발급부터 2026년 매년 갱신·도용 방지까지
 939 |  O  |  O  | publish | 직구 반품·환불 거부당했다면 — 청약철회권과 차지백 120일로 돈 돌려받는 법
 946 |  O  |  O  | publish | 해외직구 영양제, 압수되는 성분 따로 있다 — 멜라토닌·다이어트 식품 통관 금지
 956 |  O  |  O  | publish | 가전 직구 3대 함정 — KC 인증·220V·A/S 안 되는 이유
 969 |  O  |  O  | publish | 알리·테무 직구 안전할까 — 유해물질·부적합 제품 걸러내는 법
 980 |  O  |  O  | publish | 명품 시계 직구 — 200만원 넘으면 개별소비세 20% (주얼리 계산까지)
 994 |  O  |  O  | publish | 콘택트렌즈 직구는 불법 — 도수 없는 컬러·서클렌즈도 (의료기기라서)
 995 |  O  |  O  | publish | 콘택트렌즈 직구는 불법 — 도수 없는 컬러·서클렌즈도 (의료기기라서)

요약 없음(0): -
FAQ 없음(0): -
GEO 완비: 57/57개
